sub	task	mean_fd	total_fd	fd_outliers02	fd_outliers05	mean_zscore	tsnr_gm	tsnr_wm	tsnr_csf	tsnr_brain
sub-001	rest_run-1	0.15820713891074192	33.2234991712558	43	0	0.7855531968449271	80.4383855508936	100.63391580938801	32.4394839588854	75.1277761013654
sub-001	fingerTapping	0.14149121274940663	29.713154677375393	22	0	0.7614307690757471	87.7488732387705	108.04358999408701	36.511224137161705	81.84560822598709
sub-001	emotionProcessing	0.13067537210228666	27.4418281414802	21	0	0.7604187170197461	89.1614666700963	110.18544956171499	37.868132285229294	83.45060458117291
sub-001	rest_run-2	0.1641847947591672	34.47880689942511	43	0	0.766703612361638	84.81952403889579	106.57482371979799	34.3547462469145	79.49516763030609
sub-001	fingerTappingImagined	0.13043909679095286	27.3922103261001	11	0	0.758111225775898	91.05180753044209	111.386993564924	38.5416636676062	84.87781315268309
sub-001	emotionProcessingImagined	0.14798998481831727	31.077896811846625	27	0	0.7635138754394171	87.5877759852619	107.412527986538	36.922285521370604	81.582250059973
sub-002	rest_run-1	0.10888718076196678	22.866307960013025	10	1	0.7809783602305709	76.3837522503558	92.3853747948695	33.5074725240842	71.808040234328
sub-002	fingerTapping	0.11365152008918679	23.866819218729226	21	2	0.7629388483575991	82.2461639786034	100.996917435719	36.07860496199471	77.7302442936578
sub-002	emotionProcessing	0.10777027678914643	22.63175812572075	16	2	0.755142537062131	85.4210080815846	102.62196626643299	37.9343429384793	80.27767757887041
sub-002	rest_run-2	0.1371837178902043	28.808580756942902	25	3	0.757730386777634	69.0301003887006	89.2297180251536	29.0875776377654	66.2453854435371
sub-002	fingerTappingImagined	0.07963336662609276	16.72300699147948	1	0	0.747696988033183	94.4820788946804	106.711161766782	44.498759933737794	87.499914254958
sub-002	emotionProcessingImagined	0.11239181994244489	23.602282187913428	5	0	0.7404151278531079	86.57468078685709	104.545974018782	39.1226244115946	81.7509036425488
sub-003	rest_run-1	0.11548198008903023	24.25121581869635	17	1	0.780603562509765	72.3260415496977	84.4578557786033	30.610889376939603	66.4629953511286
sub-003	fingerTapping	0.102824288586664	21.59310060319944	5	0	0.7624932226686708	80.216763865061	92.24799629023241	35.3989099030663	73.6953351032372
sub-003	emotionProcessing	0.09968396909735826	20.933633510445233	5	1	0.756495570237489	84.5664421800862	94.636563126231	38.21290263141171	77.2324445914457
sub-003	rest_run-2	0.10415944834662276	21.87348415279078	11	0	0.760149372646797	78.0867857362493	91.0147547100693	34.3358589398259	72.0143416564815
sub-003	fingerTappingImagined	0.10583070798013185	22.224448675827688	12	0	0.7560252517927522	82.3499042088457	93.5612984897102	36.8991537205141	75.4297207002359
sub-003	emotionProcessingImagined	0.11657043085386816	24.479790479312314	17	0	0.7533495960028129	78.1676261096481	91.77326332209059	34.7760474436566	72.51724609057071
sub-004	rest_run-1	0.12166372957430893	25.549383210604876	14	0	0.7869793924495601	85.5201782490054	95.4500209655384	37.865878433760294	77.92881596929841
sub-004	fingerTapping	0.16363550914170014	34.36345691975703	50	2	0.7709829314876642	75.9342326718999	91.25485553354359	31.8791223210138	70.67831278421959
sub-004	emotionProcessing	0.11054083183935216	23.213574686263954	12	0	0.767187124921885	95.8642459501108	104.042815768673	44.130782669981606	86.9948719799001
sub-004	rest_run-2	0.16281699359947893	34.19156865589058	33	9	0.761519283228196	76.09499988857141	91.36862534160521	31.4015722184187	70.6681340531696
sub-004	fingerTappingImagined	0.1974721549043424	41.4691525299119	63	9	0.7445508509580431	68.8138638085656	84.7592001642423	28.6291858256498	64.6333091785783
sub-004	emotionProcessingImagined	0.17360547373376778	36.45714948409123	61	5	0.7501595140543	78.0541209075848	95.8494249941915	33.2372143144585	73.3779921213532
sub-005	rest_run-1	0.11460496530306734	24.067042713644142	5	0	0.7860844606880121	94.5216786883388	103.952839272469	47.412512410503105	85.02003527595541
sub-005	fingerTapping	0.1270522551091562	26.6809735729228	11	0	0.7747361945339949	93.8461548209116	105.02638225705999	46.537675011237205	84.7583200723845
sub-005	emotionProcessing	0.11696172168293273	24.561961553415873	4	0	0.761662342821504	96.6571941327323	104.12825535185699	49.7872631338058	86.8874060261956
sub-005	rest_run-2	0.12338254746874296	25.910334968436022	2	0	0.7566694489255291	97.4821329203405	107.717466548645	49.400566090425606	88.1589811722604
sub-005	fingerTappingImagined	0.1289034935626448	27.069733648155406	7	0	0.7516555474985759	95.4107477814908	105.971777348275	48.039686332829	86.3527760402278
sub-005	emotionProcessingImagined	0.1187390330272976	24.935196935732495	1	0	0.7520991425670419	98.1993673366819	108.694072127537	50.005516236561206	88.91734651217699
sub-006	rest_run-1	0.1205092859084803	25.306950040780862	16	0	0.7801256400710359	93.7296407937909	112.35670066303699	38.5970014787851	85.4051997838953
sub-006	fingerTapping	0.11105312580466384	23.321156418979406	9	0	0.7634008935842399	100.254663568398	119.619700978291	42.44383925648879	91.57124322932171
sub-006	emotionProcessing	0.11533651867239185	24.22066892120229	11	0	0.7614190452265229	107.57473882753901	124.963431899992	46.436706650565604	97.7931001540484
sub-006	rest_run-2	0.12009597644816766	25.22015505411521	10	0	0.756927106653932	97.06619144424471	120.831427325243	40.8644157290231	90.0478599888358
sub-006	fingerTappingImagined	0.10700533405342207	22.471120151218635	6	0	0.7503182928119669	107.990354016659	126.486611358701	47.6175722379745	98.66729369416149
sub-006	emotionProcessingImagined	0.1009883293757075	21.207549168898574	5	0	0.7505409350506189	105.489990277411	126.43394787909901	46.48095811556271	97.1043701299385
sub-007	rest_run-1	0.21016591581887606	44.13484232196397	103	1	0.784271724604813	78.3780819226347	96.64560883914749	31.6894874689756	71.0781116996885
sub-007	fingerTapping	0.18259654039153042	38.34527348222139	79	0	0.7763617799226842	84.85928722048101	103.11758421584999	34.504384318641	76.59152409188371
sub-007	emotionProcessing	0.1581864947890393	33.21916390569825	48	0	0.7766284091829351	90.42011135230369	105.055324930474	37.7345587788831	80.5485928005983
sub-007	rest_run-2	0.25143894846879217	52.80217917844636	134	8	0.7746186608206241	75.34591471660279	95.10733126143991	30.2326933690806	68.868970301973
sub-007	fingerTappingImagined	0.1609380885301151	33.79699859132417	48	2	0.7747527213743629	85.671861682607	102.318559973582	35.1146504080233	76.9104067555437
sub-007	emotionProcessingImagined	0.221431682049462	46.50065323038702	98	6	0.758665699235265	77.8797851219136	97.67346465333759	30.827684464451497	70.9564200997693
sub-010	rest_run-1	0.28510025976834896	59.87105455135328	130	23	0.771476646756205	47.875211945521	68.614925941134	16.7890362777247	47.7328689649234
sub-010	fingerTapping	0.2341808221695983	49.17797265561564	94	12	0.7645856175629631	50.426582711474296	71.7411586939445	17.8107879512552	50.2200636663002
sub-010	emotionProcessing	0.31851284436034205	66.88769731567183	114	30	0.75022806489466	42.2437073298605	63.07336830433	14.091764116218501	42.7626139865596
sub-010	rest_run-2	0.2721129976254826	57.14372950135134	125	15	0.7586677647139279	50.637420559395295	72.99114578997171	17.3935610383014	50.53400800739411
sub-010	fingerTappingImagined	0.16366291354498602	34.369211844447065	46	2	0.764674629964494	67.1987516151129	88.95732204172751	24.255240416023604	65.1396605638525
sub-010	emotionProcessingImagined	0.4083336574284272	85.7500680599697	157	51	0.747457192832225	42.729589070764	62.0842363405204	14.2360291581637	42.811558107424204
sub-011	rest_run-1	0.14107999034743507	29.626797972961366	30	0	0.7820323334484559	93.32573780219342	106.13985124160101	45.4089827493139	84.6391229711146
sub-011	fingerTapping	0.10706898368993929	22.484486574887253	22	1	0.775115881236178	88.5876615265518	102.76101104687099	42.001139701098204	80.60421582604259
sub-011	emotionProcessing	0.10867840710765524	22.8224654926076	14	0	0.7427736453808721	90.91477109329651	105.68792524532101	44.24145277162721	83.23546840004609
sub-011	rest_run-2	0.1881180133382325	39.504782801028824	86	0	0.7323304981369629	87.0928481323662	104.496523863386	39.7052151375299	79.9625292173903
sub-011	fingerTappingImagined	0.1301228148659147	27.32579112184209	27	4	0.7229003282127451	76.0225503179221	96.44064808713041	34.513740600552204	71.1754190148742
sub-011	emotionProcessingImagined	0.1406826809209725	29.543362993404223	35	2	0.7177142033766579	73.76197283369692	90.59192125333651	33.7262812508314	68.3845914815723
sub-012	rest_run-1	0.17928297781986982	37.64942534217266	61	1	0.780438851564813	75.3463076530863	98.16665114901319	31.392689532098302	71.66578096551741
sub-012	fingerTapping	0.15129721803716586	31.77241578780483	36	1	0.7520888510919019	87.1943948659247	109.332075387319	37.8520903590051	82.1965306116184
sub-012	emotionProcessing	0.14557142893929914	30.57000007725282	30	0	0.761991839358135	80.83736556868101	100.993405849537	34.4249460891039	75.7917145017865
sub-012	rest_run-2	0.19368070253326028	40.67294753198466	80	3	0.7457682284502379	75.29068294570621	101.281194920107	30.612027867269003	72.5119718561272
sub-012	fingerTappingImagined	0.14054327607949396	29.51408797669373	27	1	0.744987308024894	85.10754651833571	108.036648228056	37.0158677226028	80.65087097550891
sub-012	emotionProcessingImagined	0.14548685410436207	30.552239361916033	31	0	0.7465781412745022	90.4266441356078	113.467912548053	39.440083957954705	85.3142940194502
sub-013	rest_run-1	0.09686544657536444	20.341743780826533	0	0	0.7863875159773449	89.4186438511166	102.416629949884	41.0849245926345	82.21509090728729
sub-013	fingerTapping	0.13764054006065513	28.90451341273758	30	0	0.76685803892026	82.757041563046	99.7930554274734	36.4939487526876	77.193572407513
sub-013	emotionProcessing	0.09369723947282127	19.676420289292466	1	0	0.762077371946566	92.81737501482891	107.642989675591	43.6774517087233	86.0915905890839
sub-013	rest_run-2	0.19540338525383802	41.034710903305985	95	4	0.764166924146273	77.493178465637	96.1655721784385	33.5051111951798	72.97006657870391
sub-013	fingerTappingImagined	0.09830263990198154	20.643554379416123	5	0	0.757586498394465	92.0182309765506	108.65812101498001	42.9162291185449	85.81782716609399
sub-013	emotionProcessingImagined	0.09951326932284572	20.897786557797602	4	0	0.764916659263623	85.26029199563709	100.500105213914	38.3884233450109	79.1005761456032
sub-015	rest_run-1	0.12195374698808238	25.6102868674973	26	2	0.7812546724937109	92.1879750004239	105.29855396326201	54.47302757877029	86.2402960917482
sub-015	fingerTapping	0.11131517663096488	23.376187092502626	13	0	0.769171357582327	98.68586639418209	110.51977574156601	59.775465081517	92.13141405825779
sub-015	emotionProcessing	0.11533782241568794	24.220942707294466	20	0	0.7510747379184151	105.83660282220501	117.282614366228	66.2686257105614	99.0163740089337
sub-015	rest_run-2	0.11338214668213552	23.810250803248458	12	0	0.7452358208955542	93.94336894727421	110.76084394516	55.6688980205445	88.96688383492479
sub-015	fingerTappingImagined	0.10409033084674259	21.858969477815943	12	0	0.7476206947634692	103.366926700672	112.574969885019	63.537763417902795	95.85980018033571
sub-015	emotionProcessingImagined	0.10808340664557133	22.69751539556998	14	0	0.7492393356693878	104.761800209591	114.48106292766899	63.6843768057405	97.0819125946431
sub-016	rest_run-1	0.09991797906644202	20.982775603952824	4	0	0.7830563784292058	85.8151260427414	102.103170537351	39.6624233255139	79.1943074418747
sub-016	fingerTapping	0.10161402838443193	21.338945960730705	6	0	0.7611479650519979	92.80432293226629	107.61657199439001	42.6501948169014	84.8696814786205
